entity_id,entity_type,name,foot_traffic,sales,avg_dwell_time_min,area_sqft,ft_per_sqft,geolocation,country,state_code,state_name,city,postal_code,formatted_city,street_address,sub_category,dma,cbsa,chain_id,chain_name,store_id,date_opened,date_closed
ad8dff00d5bc8fed15741b83,venue,Walmart,95629,2511441.22,24.60,74650.82,1.28,POINT (-103.48838805397726 31.408735604065438),United States,TX,Texas,Pecos,79772,Pecos,1903 S Cedar St,Big Box Store,633,37780,58ef64a9173f5601f82d8f0e,Walmart,898,2017-01-01 00:00:00.000000 UTC,
9330277336846a012b71eb90,venue,Target,161502,3062628.86,29.44,124982.05,1.29,POINT (-76.83578772903213 41.24426256348899),United States,PA,Pennsylvania,Muncy,17756-8152,Muncy,170 S Lycoming Mall Rd,Big Box Store,577,48700,58ef64a9173f5601f92d8f0e,Target,2437,2008-07-23 00:00:00.000000 UTC,
89383ce238a1c513c8f2c216,venue,Walmart,12939,229288.26,28.44,177761.92,0.07,POINT (-92.38239595124874 38.95705948677504),United States,MO,Missouri,Columbia,65203,Columbia,3001 W Broadway,Big Box Store,604,17860,58ef64a9173f5601f82d8f0e,Walmart,80,2017-01-01 00:00:00.000000 UTC,
e9a6aef7b6427e5c4286b7be,venue,Big Lots,156260,1669269.46,28.30,30371.50,5.14,POINT (-97.36741135888137 27.709312012928812),United States,TX,Texas,Corpus Christi,78411,Corpus Christi,4938 S Staples St,Big Box Store,600,18580,59b035c2173f568518781186,Big Lots,1879,,
f66ca88b510d0dd257f37bb0,venue,Walmart,6,165.21,34.16,194655.03,0.00,POINT (-78.72482236819675 34.303182053386394),United States,NC,North Carolina,Whiteville,28472,Whiteville,200 Columbus Corners Dr,Big Box Store,550,,58ef64a9173f5601f82d8f0e,Walmart,1268,2017-01-01 00:00:00.000000 UTC,
882d463c81693b559cc2907c,venue,Walmart,8124,205755.57,0.16,192479.28,0.04,POINT (-89.31657511996623 31.31073783637947),United States,MS,Mississippi,Hattiesburg,39401,Hattiesburg,5912 U S Highway 49,Big Box Store,710,25620,58ef64a9173f5601f82d8f0e,Walmart,,,
634aab0644fb62809c1ddc42,venue,Big Lots,161968,3775448.44,28.30,35564.04,4.55,POINT (-80.0374762835 32.94238289810711),United States,SC,South Carolina,North Charleston,29406,North Charleston,7620 Rivers Ave 200,Big Box Store,519,16700,59b035c2173f568518781186,Big Lots,5139,2023-01-01 00:00:00.000000 UTC,2024-12-31 00:00:00.000000 UTC
e8585dedc49bc42a874d33d2,venue,Walmart,107026,2404210.64,30.90,157621.49,0.68,POINT (-88.9949909146804 30.392371342158352),United States,MS,Mississippi,Biloxi,39531,Biloxi,2681 Ct Switzer Sr Dr,Big Box Store,746,25060,58ef64a9173f5601f82d8f0e,Walmart,1088,,
ead85b19c6baaf5b168eeaf8,venue,Target,3436,27397.28,27.88,122739.19,0.03,POINT (-110.85299306729233 32.24874436837599),United States,AZ,Arizona,Tucson,85715,Tucson,6500 E Grant Rd,Big Box Store,789,46060,58ef64a9173f5601f92d8f0e,Target,855,1993-10-06 00:00:00.000000 UTC,
ed0574e4bab1313b79a96487,venue,Big Lots,154046,1611902.27,22.38,36437.10,4.23,POINT (-78.97648077375656 43.10239250928773),United States,NY,New York,Niagara Falls,14304,Niagara Falls,2429 Military Rd,Big Box Store,514,15380,59b035c2173f568518781186,Big Lots,1769,,
